title,body,label
"尹 선고 전날 여론전…여 ""윤 복귀하면 개헌"" 야 ""내일이면 파면""","국힘 ""민주, 선고 앞두고 불복과 극언 난장판 벌여"" 민주 ""파면 입증 증거 차고 넘쳐, 의심하지 않아"" [서울=뉴시스] 김명년 기자 = 윤석열 대통령이 지난 2월 25일 서울 종로구 헌법재판소에서 열린 자신의 탄핵심판 11차 변론에서 최종변론을 하고 있다.(사진=헌법재판소 제공) 2025.02.25",1
경찰력 총동원 ‘초긴장’…‘불상사 막아라’ 특공대 현장 대기,210개 기동대 도심 배치…자정부터 총경 이상 비상 대기령 점검 또 점검 진압복을 착용한 경찰 기동대원들이 3일 서울 종로구 헌법재판소 인근에서 대열을 정비하고 있다,0
6년 만에 평양국제마라톤 개최…코스 바뀐 이유?,[앵커] 북한이 코로나19로 중단했던 '평양국제마라톤'대회를 6년 만에 개최했습니다,0
"국민의힘, 대통령 파면 후 자성론 나와… ""기각만 바란 것이 패착""",윤석열 전 대통령 파면 이후 국민의힘 내에서는 자성론이 나오고 있다,0
헌정사 세 번째 대통령 탄핵심판 내일 결론,"""업무를 보조하는 연구관들 역시 접근하기 어려운 상황""이라고 설명했습니다",0
"나경원 ""체제 전쟁서 이재명 꺾을 것"" 출마 선언…홍준표, 대구시장 사퇴 '경선 배수진'","[앵커]사실상 독주 양상인 민주당과 달리, 국민의힘에선 오늘 7번째 출마선언이 나왔습니다",1
강릉 입항 선박서 코카인 1t 적발… 5000억원 상당 ‘역대 최대’,멕시코-에콰도르-파나마-중국 거쳐 韓 들어와 국내 정박한 외국 선박에서 밀수로 의심되는 마약이 발견됐다,0
"[뉴스하이킥] 박상수 ""국힘 내부, '尹 출당' 요구 계속될 것.. 尹, 당 위해 스스로 결단해주실 때""",맞습니다,1
"김문수, 대선 출마 선언…“봉천동 24평” 청렴 승부수","김문수, 국민의힘 입당하고 출마 선언'운동권 출신' 김문수, 본인 이력 줄줄이 언급김문수 ""아파트 한 채와 약간의 예금 전부""",1
"한 대행 ""미 상호관세에 긴급 지원""…4대그룹 총수와 TF회의",밝혔습니다,0
"尹 파면에 정치권 조기 대선 준비 본격화…김두관, 7일 출마 선언",예정된 국무회의에서 선거일을 지정하는 안건이 논의될 가능성이 크다,0
[돌비뉴스] 안철수 손가락에 글자가?…'무속 논란' 해프닝,"< 안철수의 손가락 >[기자]안철수 의원이 광화문 광장에서 대선 출마 공식 선언을 했습니다.네 번째 대선 도전도 화제였지만 그에 못지 않게 안 의원의 손가락도 화제가 됐습니다.출마 선언을 하고 기자들과 질의응답을 하면서 손을 들었는데, 왼손 검지에 뭔가 적혀 있는 모습이 포착된 겁니다.저게 무슨 내용인지 많은 사람들이 궁금해 하고 온라인에서 화제가 되자, 안철수 의원 측에서는 '이효진원광大'라고 적었다고 밝혔습니다.이효진 원광대 교수가 안철수 캠프 측의 새 대변인으로, 지금 보시는 하얀 옷을 입은 사람인데요",0
"“한덕수 못 믿어”…민주, 조기대선일 ‘강제 공고법’ 추진한다",이재명 더불어민주당 대표(왼쪽)과 박찬대 더불어민주당 원내대표,0
대선 두 달도 안남았는데…'후폭풍' 국힘 내부 갈등 조짐,"책임감이 먼저였어야 한다"", ""자중하자""고 자성을 촉구하기도 했습니다",0
결국 국민이 옳았다...국힘과 내란 세력도 그냥 둘 수 없다 [이게 이슈],승리했다,1
